"name","geo_point_2d","ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date"
"South Cambie","{ ""lon"": -123.12180091574463, ""lat"": 49.245556462368654 }",4.73625802993774,24,24,1,"2012-09"
"Shaughnessy","{ ""lon"": -123.13976016672807, ""lat"": 49.245680976154581 }",3.41498041152954,43,43,1,"2012-09"
"Victoria-Fraserview","{ ""lon"": -123.06413471832595, ""lat"": 49.220011940057667 }",3.84273505210876,48,48,1,"2012-09"
"Dunbar-Southlands","{ ""lon"": -123.18954680338996, ""lat"": 49.237961905344271 }",1.80821084976196,95,95,1,"2012-09"
"Fairview","{ ""lon"": -123.1310488653851, ""lat"": 49.264540486169757 }",7.98736238479614,42,42,1,"2012-09"
"Mount Pleasant","{ ""lon"": -123.09851312036905, ""lat"": 49.263065249728648 }",7.23396825790405,42,42,1,"2012-09"
"Renfrew-Collingwood","{ ""lon"": -123.040166464563, ""lat"": 49.247342733638504 }",4.67722511291504,69,69,1,"2012-09"
"West End","{ ""lon"": -123.13543765302629, ""lat"": 49.285011188472005 }",9.44372081756592,27,27,1,"2012-09"
"Arbutus Ridge","{ ""lon"": -123.16166923820482, ""lat"": 49.246804909827887 }",3.27234768867493,37,37,1,"2012-09"
"Grandview-Woodland","{ ""lon"": -123.06672822103268, ""lat"": 49.276439609304632 }",6.29181909561157,50,50,1,"2012-09"
"Kensington-Cedar Cottage","{ ""lon"": -123.07288459215947, ""lat"": 49.246686446286056 }",4.01223468780518,67,67,1,"2012-09"
"Killarney","{ ""lon"": -123.03764702895802, ""lat"": 49.217021670797429 }",2.86404848098755,61,61,1,"2012-09"
"Kitsilano","{ ""lon"": -123.16329474017252, ""lat"": 49.267539848486912 }",4.13703632354736,67,67,1,"2012-09"
"Strathcona","{ ""lon"": -123.08823528054062, ""lat"": 49.278219577647242 }",9.07824611663818,42,42,1,"2012-09"
"Sunset","{ ""lon"": -123.09203800098149, ""lat"": 49.218756150539072 }",4.7804069519043,61,61,1,"2012-09"
"West Point Grey","{ ""lon"": -123.20346748255886, ""lat"": 49.268401210185914 }",2.18776106834412,54,54,1,"2012-09"
"Downtown","{ ""lon"": -123.11656700827415, ""lat"": 49.28074707013743 }",9.20919227600098,54,54,1,"2012-10"
"Hastings-Sunrise","{ ""lon"": -123.04026992328848, ""lat"": 49.277934052090188 }",4.04048347473145,71,66,0.929577464788732,"2012-10"
"Kerrisdale","{ ""lon"": -123.15957618168902, ""lat"": 49.223655484618817 }",2.19033217430115,65,65,1,"2012-10"
"Marpole","{ ""lon"": -123.1283816596551, ""lat"": 49.210207465671559 }",4.41125011444092,54,54,1,"2012-10"
